Company_Name,Ticker,Sector,Year Analyzed,Date Ending,Current Price,Total Revenue,Net Income,EBIT,OCF,FCF,ROE,ROCE,Tax Rate,Capex,D&A,Total Debt,Shares,Current Assets,Current Liabilities,Sentiment,Leadership,CapitalAllocation,Governance,Communication,Stability,MarketTrust,FinalManagementScore,Revenue_YoY_Growth_%,Profit_YoY_Growth_%,CAGR_revenue,CAGR_netincome,Operating Margin,Depreciation %,Capex %,Working Capital %,Intrinsic Value Per Share
Kalyan Jewellers India Ltd,KALYANKJIL.NS,Consumer Cyclical,2024,2024-03-31,390.75,184725650000.0,5973460000.0,10958930000.0,13217970000.0,9503510000.0,0.1426,0.4589,0.2462,3714460000.0,2743010000.0,44949490000.0,1032662662,99490160000.0,75610360000.0,0.0,8.0,7.0,9.0,7.0,8.0,8.0,78.5,31.71,37.92,0.02,397.07,0.0588,0.0179228941421361,0.014,0.1022257701001411,84.18
Jindal Stainless Ltd,JSL.NS,Basic Materials,2024,2024-03-31,725.0,384143000000.0,27132100000.0,40689900000.0,48181300000.0,33432200000.0,0.189,0.8587,0.2505,14749100000.0,8788300000.0,60522600000.0,823718921,147826100000.0,100439200000.0,0.2,8.0,7.0,9.0,8.0,8.0,8.0,80.0,7.98,28.31,0.02,696.07,0.1096,0.0222222682687325,0.0383,0.12,518.51
20 Microns Limited,20MICRONS.NS,Basic Materials,2024,2024-03-31,166.49,7759804000.0,560698000.0,860547000.0,544434000.0,345615000.0,0.1589,0.6044,0.2644,198819000.0,143492000.0,1218548000.0,35286502,3319148000.0,1895396000.0,0.7,7.0,6.0,5.0,7.0,6.0,6.0,62.0,10.73,34.08,0.13,15.91,0.102,0.0193049224200988,0.0294,0.12,365.66
3i Infotech Limited,3IINFOLTD.NS,Technology,2024,2024-03-31,13.07,8138800000.0,-3135800000.0,-2901700000.0,241200000.0,106400000.0,-1.0686,-10.3227,0.3,134800000.0,271600000.0,844800000.0,207396267,3346100000.0,3065000000.0,0.0,8.0,7.0,9.0,8.0,8.0,8.0,80.0,11.63,-22989.05,0.02,41.98,-0.1371,0.0286225660260165,0.0607,0.05,-65.64
3M India Limited,3MINDIA.NS,Industrials,2024,2024-03-31,33640.0,41868741000.0,5834168000.0,7841426000.0,6430349000.0,6116207000.0,0.2717,0.4874,0.2552,314142000.0,529356000.0,181778000.0,11265070,26684613000.0,10594819000.0,0.2777777777777778,8.0,7.0,9.0,8.0,8.0,9.0,81.0,5.8,29.36,0.02,92.92,0.1513,0.0145836039555336,0.0146,0.12,6601.43
3P Land Holdings Limited,3PLAND.NS,,2024,2024-03-31,0.0,28792000.0,18079000.0,17365000.0,1174000.0,1174000.0,0.0183,0.0167,0.2545,0.0,927000.0,0.0,1,1038959000.0,1060000.0,0.0,7.0,6.0,8.0,7.0,7.0,7.0,70.0,55.99,17.76,0.13,-2.02,0.4,0.0462426161743017,0.0,0.12,221459146.26
5Paisa Capital Limited,5PAISA.NS,Financial Services,2024,2024-03-31,301.2,2593660000.0,544410000.0,963490000.0,-916850000.0,-1111010000.0,0.1008,0.1905,0.2507,194160000.0,95330000.0,3363170000.0,31251838,20018000000.0,14959340000.0,0.4,8.0,7.0,9.0,8.0,7.0,8.0,79.0,9.91,24.96,0.13,-4.69,0.2881,0.032435767941852,0.0556,0.12,337.86
63 moons technologies limited,63MOONS.NS,Technology,2024,2024-03-31,589.0,3688358000.0,2225058000.0,2043986000.0,471573000.0,416670000.0,0.0665,0.1324,0.3,54903000.0,302912000.0,51711000.0,46078537,18530002000.0,3088751000.0,-0.0333333333333333,8.0,7.0,9.0,8.0,8.0,7.0,79.0,27.33,-1464.33,0.13,9.15,0.0551,0.0803472580593095,0.0828,0.12,84.27
A2Z Infra Engineering Limited,A2ZINFRA.NS,Industrials,2024,2024-03-31,16.3,3884880000.0,-56918000.0,6285000.0,953277000.0,846640000.0,-0.1769,0.0,0.25,106637000.0,51839000.0,1979510000.0,176119858,4356626000.0,6033419000.0,1.0,6.0,4.0,7.0,6.0,3.0,4.0,53.0,11.17,-95.37,0.02,13.71,-0.2313,0.0214059278600383,0.017,0.05,-71.36
Godawari Power & Ispat Ltd,GPIL.NS,Basic Materials,2024,2024-03-31,299.1,54464581000.0,9353421000.0,12778201000.0,10444377000.0,6217071000.0,0.208,0.7691,0.2519,4227306000.0,1413098000.0,516270000.0,650225910,24067002000.0,7452066000.0,0.4,8.0,6.0,7.0,6.0,7.0,6.0,68.0,-5.2,17.89,0.02,25.19,0.2631,0.02234049121283055,0.0905,0.05,249.5
